Community,Contract-Waiting_Drafting,Contract-Waiting_Eng_or_Plat,Contract-Waiting_Permit,Permit&Hold-Waiting_Drafting,Permit&Hold-Waiting_Eng_or_Plat,Permit&Hold-Waiting_Permit,Community Totals
The Meadows,0,0,0,1,1,2,4
Maggie Walker Trust,0,0,0,0,2,0,2
Lauradell,0,0,0,1,1,1,3
The Preserve TH,0,0,0,3,1,0,4
The Preserve,0,0,0,2,4,1,7
Readers Branch,1,0,0,4,4,11,20
The Parke @ Cypress Creek,0,0,0,2,1,1,4
Settler's Ridge,0,0,0,0,1,0,1
GreenGate,0,0,0,2,0,1,3
The Blufftons,0,0,0,0,0,1,1
Givens Farm,0,0,0,0,0,3,3
WBV EE,0,0,0,3,0,0,3
Womack,0,0,0,0,0,1,1
